#frequency	noise-free	noisy
84101.6463	2.425299E+01	2.461236E+01
84102.1346	1.701632E+01	1.707177E+01
84102.6228	1.386627E+01	1.268193E+01
84103.1111	1.509444E+01	1.444171E+01
84103.5993	1.805336E+01	1.594338E+01
84104.0876	1.987038E+01	2.085865E+01
84104.5758	1.895539E+01	1.997410E+01
84105.0641	1.530998E+01	1.707594E+01
84105.5523	1.024783E+01	1.072694E+01
84106.0406	5.558744E+00	3.133071E+00
84106.5288	2.398359E+00	3.293872E+00
84107.0171	8.130049E-01	1.167747E+00
84107.5053	2.149620E-01	-8.556164E-01
84107.9936	4.413151E-02	1.166985E+00
84108.4818	7.012560E-03	-1.001543E+00
84108.9701	8.609939E-04	1.559644E+00
84109.4583	8.867107E-05	6.658648E-01
84109.9466	9.187956E-05	-8.589447E-01
84110.4348	7.865963E-04	-1.898063E-01
84110.9231	5.549276E-03	-8.966517E-01
84111.4113	3.021552E-02	4.535378E-01
84111.8996	1.269145E-01	1.661867E+00
84112.3878	4.111054E-01	-3.326770E-01
84112.8761	1.026592E+00	4.497481E-01
84113.3643	1.976581E+00	-7.461296E-01
84113.8526	2.939642E+00	4.193162E+00
84114.3409	3.397870E+00	3.382176E+00
84114.8291	3.125617E+00	2.955842E+00
84115.3174	2.528058E+00	3.770922E+00
84115.8056	2.375152E+00	4.663665E-01
84116.2939	3.158612E+00	2.131964E+00
84116.7821	4.812782E+00	5.950812E+00
84117.2704	7.546180E+00	7.969686E+00
84117.7586	1.365612E+01	1.375180E+01
84118.2469	2.764034E+01	2.888933E+01
84118.7351	5.066229E+01	5.187251E+01
84119.2234	7.482810E+01	7.446372E+01
84119.7116	8.923315E+01	8.997083E+01
84120.1999	8.849794E+01	8.834835E+01
84120.6881	7.263732E+01	7.278462E+01
84121.1764	4.717722E+01	4.665398E+01
84121.6646	2.315681E+01	2.339817E+01
84122.1529	8.645981E+00	8.433572E+00
84122.6411	3.058628E+00	3.339892E+00
84123.1294	2.201707E+00	2.543697E+00
84123.6176	3.068216E+00	2.677535E+00
84124.1059	4.112893E+00	2.643504E+00
84124.5941	4.491907E+00	3.292741E+00
84125.0824	3.930706E+00	4.220275E+00
84125.5706	2.743841E+00	2.533139E+00
84126.0589	1.519192E+00	2.380403E+00
84126.5472	6.630497E-01	-7.863687E-01
84127.0354	2.268996E-01	-2.401172E-01
84127.5237	6.068442E-02	-4.605506E-01
84128.0119	1.336968E-02	9.655685E-01
84128.5002	8.300922E-03	-5.129384E-01
84128.9884	3.925360E-02	5.617400E-01
84129.4767	1.865454E-01	1.506915E+00
84129.9649	6.855633E-01	1.432256E+00
84130.4532	1.934303E+00	6.819358E-01
84130.9414	4.186242E+00	4.331963E+00
84131.4297	6.958640E+00	8.411122E+00
84131.9179	8.919295E+00	1.022776E+01
84132.4062	8.848307E+00	1.119725E+01
84132.8944	6.792820E+00	5.419240E+00
84133.3827	4.019971E+00	3.915618E+00
84133.8709	1.826931E+00	3.461309E+00
84134.3592	6.368619E-01	5.307113E-01
84134.8474	1.704360E-01	-1.234477E+00
84135.3357	3.505619E-02	1.100560E-01
84135.8239	5.545595E-03	-5.150636E-01
84136.3122	6.773850E-04	-3.221732E-01
84136.8004	9.583071E-05	1.030997E-01
84137.2887	3.222338E-04	-4.864367E-01
84137.7769	2.377575E-03	-4.620495E-01
84138.2652	1.368653E-02	2.062148E-01
84138.7535	6.061468E-02	2.149296E+00
84139.2417	2.064733E-01	2.696838E-01
84139.7300	5.408037E-01	-1.403961E+00
84140.2182	1.089111E+00	1.512605E+00
84140.7065	1.687192E+00	1.023793E+00
84141.1947	2.012433E+00	2.400282E+00
84141.6830	1.849332E+00	1.932874E+00
84142.1712	1.308895E+00	8.358801E-02
84142.6595	7.128308E-01	-6.603154E-01
84143.1477	2.985137E-01	-5.457877E-01
84143.6360	9.611745E-02	6.946206E-02
84144.1242	2.380141E-02	4.929662E-01
84144.6125	4.533790E-03	1.103718E+00
84145.1007	6.643935E-04	7.090039E-01
84145.5890	7.490479E-05	-2.549580E+00
84146.0772	6.497068E-06	-2.118339E+00
84146.5655	4.335603E-07	-5.063437E-01
84147.0537	2.225901E-08	1.851610E-01
84147.5420	8.791973E-10	-1.513201E-01
84148.0302	2.672232E-11	3.731298E-01
84148.5185	6.209979E-13	-7.696588E-01
84149.0067	1.940618E-14	-5.304843E-02
84149.4950	0.000000E+00	2.706214E-01
84149.9832	0.000000E+00	-1.134640E+00
84150.4715	0.000000E+00	-4.431306E-01
84150.9598	0.000000E+00	4.923620E-01
84151.4480	0.000000E+00	-5.953382E-01
84151.9363	0.000000E+00	8.933157E-01
84152.4245	0.000000E+00	5.508830E-03
84152.9128	0.000000E+00	-1.632147E+00
84153.4010	0.000000E+00	3.282140E-01
84153.8893	0.000000E+00	-6.915431E-02
84154.3775	0.000000E+00	-2.016595E+00
84154.8658	0.000000E+00	6.378791E-01
84155.3540	0.000000E+00	1.261414E-01
84155.8423	2.134679E-13	1.198552E+00
84156.3305	1.030468E-11	-4.940752E-01
84156.8188	3.671260E-10	1.000734E+00
84157.3070	1.006140E-08	5.353246E-01
84157.7953	2.121685E-07	1.434562E+00
84158.2835	3.442604E-06	8.022367E-01
84158.7718	4.298104E-05	2.205924E-01
84159.2600	4.129048E-04	-4.586961E-01
84159.7483	3.052136E-03	1.051814E+00
84160.2365	1.735910E-02	1.088585E+00
84160.7248	7.595895E-02	-5.085607E-01
84161.2130	2.556606E-01	1.276050E+00
84161.7013	6.616837E-01	5.445906E-01
84162.1895	1.316766E+00	6.586317E-01
84162.6778	2.016008E+00	1.135153E+00
84163.1661	2.377289E+00	1.503201E+00
84163.6543	2.160641E+00	2.476265E+00
84164.1426	1.512995E+00	1.880113E+00
84164.6308	8.164259E-01	6.977777E-01
84165.1191	3.473161E-01	8.493267E-01
84165.6073	1.650508E-01	1.402215E+00
84166.0956	2.928130E-01	-1.016565E+00
84166.5838	9.562832E-01	7.799448E-01
84167.0721	2.611853E+00	3.442210E+00
84167.5603	5.506021E+00	5.248107E+00
84168.0486	8.937489E+00	7.841436E+00
84168.5368	1.122518E+01	1.243116E+01
84169.0251	1.095735E+01	1.002451E+01
84169.5133	8.308839E+00	6.633368E+00
84170.0016	4.870619E+00	5.122674E+00
84170.4898	2.197167E+00	2.608045E-01
84170.9781	7.617992E-01	1.443679E+00
84171.4663	2.032392E-01	1.841857E+00
84171.9546	4.178040E-02	5.815424E-01
84172.4428	6.623256E-03	6.849324E-01
84172.9311	8.098735E-04	1.043207E+00
84173.4193	7.638827E-05	2.514147E-01
84173.9076	5.557603E-06	-2.259065E-01
84174.3958	3.118729E-07	-1.422430E+00
84174.8841	1.349818E-08	5.841333E-01
84175.3724	4.587226E-10	-1.330654E+00
84175.8606	3.208031E-10	-1.086820E+00
84176.3489	8.994829E-09	-6.905729E-02
84176.8371	2.013527E-07	-2.140015E+00
84177.3254	3.468717E-06	1.241536E+00
84177.8136	4.598497E-05	7.982187E-01
84178.3019	4.691364E-04	-1.026295E-01
84178.7901	3.683148E-03	-1.859039E+00
84179.2784	2.225236E-02	7.902395E-02
84179.7666	1.034610E-01	-7.356738E-01
84180.2549	3.702938E-01	-2.066150E+00
84180.7431	1.022416E+00	-1.863330E+00
84181.2314	2.202541E+00	1.032325E+00
84181.7196	3.883238E+00	2.102400E+00
84182.2079	6.547361E+00	5.644478E+00
84182.6961	1.352936E+01	1.346764E+01
84183.1844	3.313945E+01	3.185245E+01
84183.6726	7.168806E+01	7.042777E+01
84184.1609	1.168470E+02	1.169255E+02
84184.6491	1.471571E+02	1.488342E+02
84185.1374	1.594798E+02	1.583804E+02
84185.6256	1.608665E+02	1.610699E+02
84186.1139	1.525833E+02	1.540453E+02
84186.6021	1.280330E+02	1.265826E+02
84187.0904	8.473079E+01	8.315388E+01
84187.5787	4.133914E+01	4.019129E+01
84188.0669	1.657825E+01	1.696556E+01
84188.5552	7.400207E+00	7.070698E+00
84189.0434	4.222828E+00	3.489345E+00
84189.5317	2.439780E+00	1.035738E+00
84190.0199	1.176201E+00	2.156258E+00
84190.5082	4.442391E-01	1.433837E+00
84190.9964	1.295238E-01	1.077330E+00
84191.4847	2.907212E-02	6.723105E-01
84191.9729	5.021694E-03	8.001017E-02
84192.4612	6.675299E-04	5.504896E-01
84192.9494	6.828773E-05	6.257371E-01
84193.4377	5.376094E-06	9.545824E-03
84193.9259	3.257189E-07	2.841609E-01
84194.4142	1.518697E-08	-6.250659E-01
84194.9024	5.449435E-10	-6.724026E-01
84195.3907	1.503975E-11	2.379108E-01
84195.8789	3.104981E-13	7.178727E-01
84196.3672	0.000000E+00	-9.308333E-01
84196.8554	0.000000E+00	4.020660E-01
84197.3437	0.000000E+00	1.532514E+00
84197.8319	0.000000E+00	3.483928E-01
84198.3202	0.000000E+00	6.094637E-01
84198.8084	0.000000E+00	4.476032E-01
84199.2967	0.000000E+00	3.760303E-01
84199.7850	0.000000E+00	9.195845E-01
84200.2732	0.000000E+00	-2.136823E-01
84200.7615	0.000000E+00	-1.017892E+00
84201.2497	0.000000E+00	-1.956872E-02
84201.7380	0.000000E+00	-8.723148E-01
84202.2262	0.000000E+00	1.406209E-01
84202.7145	0.000000E+00	-3.406931E-01
84203.2027	0.000000E+00	9.625210E-01
84203.6910	0.000000E+00	-1.161672E+00
84204.1792	0.000000E+00	-4.246932E-01
84204.6675	0.000000E+00	-5.740492E-01
84205.1557	0.000000E+00	-8.094837E-01
84205.6440	0.000000E+00	1.705984E-01
84206.1322	0.000000E+00	1.428937E+00
84206.6205	0.000000E+00	-5.722904E-01
84207.1087	0.000000E+00	-5.456750E-01
84207.5970	0.000000E+00	-4.357456E-02
84208.0852	0.000000E+00	1.899302E+00
84208.5735	0.000000E+00	5.885163E-01
84209.0617	0.000000E+00	-3.069215E-01
84209.5500	0.000000E+00	-4.571537E-01
84210.0382	1.940611E-14	-9.552243E-01
84210.5265	9.314933E-13	6.928419E-01
84211.0147	4.251879E-11	-1.789657E-01
84211.5030	1.501897E-09	-1.859889E+00
84211.9913	4.082783E-08	-6.326603E-01
84212.4795	8.542821E-07	-4.571596E-01
84212.9678	1.375871E-05	1.131280E+00
84213.4560	1.705632E-04	7.316241E-01
84213.9443	1.627507E-03	5.514543E-01
84214.4325	1.195311E-02	1.430981E-01
84214.9208	6.756379E-02	-6.547410E-01
84215.4090	2.938098E-01	2.207655E-01
84215.8973	9.821406E-01	8.293441E-01
84216.3855	2.520825E+00	2.724413E-01
84216.8738	4.966810E+00	4.763404E+00
84217.3620	7.529417E+00	7.169462E+00
84217.8503	8.819176E+00	1.030688E+01
84218.3385	8.006204E+00	8.185222E+00
84218.8268	5.648189E+00	5.203941E+00
84219.3150	3.189941E+00	2.977022E+00
84219.8033	1.797009E+00	2.130932E+00
84220.2915	1.836290E+00	1.444772E+00
84220.7798	3.077068E+00	2.030225E+00
84221.2680	4.830760E+00	5.673667E+00
84221.7563	6.054905E+00	6.576455E+00
84222.2445	5.925400E+00	6.795064E+00
84222.7328	4.505289E+00	4.826735E+00
84223.2210	2.649842E+00	2.883041E+00
84223.7093	1.201302E+00	5.252933E-01
84224.1976	4.191482E-01	-3.362909E-01
84224.6858	1.125574E-01	8.410942E-01
84225.1741	2.327171E-02	1.307561E+00
84225.6623	3.705129E-03	2.139191E+00
84226.1506	4.550641E-04	3.871643E-01
84226.6388	5.673690E-05	7.647018E-01
84227.1271	1.859354E-04	2.705484E-01
84227.6153	1.939144E-03	-1.055762E+00
84228.1036	1.660727E-02	7.813272E-01
84228.5918	1.148527E-01	4.431676E-01
84229.0801	6.380783E-01	-2.520106E-01
84229.5683	2.817804E+00	3.256474E+00
84230.0566	9.722284E+00	1.028421E+01
84230.5448	2.562114E+01	2.643330E+01
84231.0331	5.077924E+01	5.154690E+01
84231.5213	7.676553E+01	7.393130E+01
84232.0096	9.272423E+01	9.226939E+01
84232.4978	9.347667E+01	9.385155E+01
84232.9861	7.890195E+01	7.914358E+01
84233.4743	5.419881E+01	5.334079E+01
84233.9626	3.184960E+01	3.189077E+01
84234.4508	2.324004E+01	2.379815E+01
84234.9391	2.808512E+01	2.800473E+01
84235.4273	3.743257E+01	3.567205E+01
84235.9156	4.299186E+01	4.150588E+01
84236.4039	4.233240E+01	4.251838E+01
84236.8921	3.860773E+01	3.786206E+01
84237.3804	3.593842E+01	3.692007E+01
84237.8686	3.425552E+01	3.371314E+01
84238.3569	3.053488E+01	3.132468E+01
84238.8451	2.415200E+01	2.462312E+01
84239.3334	1.831910E+01	1.784989E+01
84239.8216	1.613015E+01	1.577238E+01
84240.3099	1.668407E+01	1.542614E+01
84240.7981	1.655435E+01	1.725146E+01
84241.2864	1.386194E+01	1.361703E+01
84241.7746	9.710804E+00	8.651191E+00
84242.2629	6.329331E+00	6.641974E+00
84242.7511	4.626137E+00	4.595158E+00
84243.2394	3.854903E+00	5.184419E+00
84243.7276	3.043194E+00	2.270226E+00
84244.2159	1.984707E+00	1.654331E+00
84244.7041	1.015884E+00	-4.333149E-01
84245.1924	4.019986E-01	8.797481E-02
84245.6806	1.228073E-01	4.767984E-02
84246.1689	3.118995E-02	-4.558613E-01
84246.6571	1.992748E-02	-1.137403E+00
84247.1454	6.871579E-02	-4.989165E-01
84247.6336	2.414583E-01	7.319056E-01
84248.1219	6.592448E-01	2.741166E+00
84248.6102	1.384892E+00	2.073088E+00
84249.0984	2.239036E+00	1.776019E+00
84249.5867	2.790184E+00	1.827570E+00
84250.0749	2.687593E+00	2.044690E+00
84250.5632	2.025601E+00	2.484305E+00
84251.0514	1.292084E+00	1.705890E+00
84251.5397	9.841964E-01	2.357247E+00
84252.0279	1.313122E+00	4.706336E-01
84252.5162	2.114324E+00	3.253127E+00
84253.0044	2.891013E+00	2.350209E+00
84253.4927	3.095046E+00	2.709047E+00
84253.9809	2.562100E+00	2.485360E+00
84254.4692	1.635239E+00	1.130440E+00
84254.9574	8.033222E-01	9.611543E-01
84255.4457	3.035367E-01	2.065429E+00
84255.9339	8.822781E-02	-1.440836E+00
84256.4222	1.973532E-02	-4.684179E-01
84256.9104	3.398172E-03	1.342523E+00
84257.3987	4.504608E-04	1.562555E+00
84257.8869	4.597191E-05	-3.700268E-01
84258.3752	3.612059E-06	-2.024867E-01
84258.8634	2.184964E-07	7.432999E-01
84259.3517	1.017807E-08	1.046813E+00
84259.8400	4.658034E-10	-6.685793E-01
84260.3282	3.206384E-09	6.114497E-01
84260.8165	7.791814E-08	-4.062313E-01
84261.3047	1.462473E-06	1.493338E+00
84261.7930	2.113493E-05	-5.268858E-01
84262.2812	2.351668E-04	-6.643171E-01
84262.7695	2.014707E-03	1.859478E+00
84263.2577	1.328920E-02	-4.949929E-01
84263.7460	6.748306E-02	6.667350E-01
84264.2342	2.637404E-01	-1.131528E+00
84264.7225	7.928777E-01	1.719122E+00
84265.2107	1.832557E+00	2.694255E+00
84265.6990	3.257462E+00	4.008013E+00
84266.1872	4.461002E+00	5.631794E+00
84266.6755	4.716789E+00	4.553005E+00
84267.1637	3.852512E+00	2.738259E+00
84267.6520	2.426646E+00	1.020370E+00
84268.1402	1.176251E+00	1.641912E+00
84268.6285	4.383383E-01	2.962074E-01
84269.1167	1.256176E-01	1.925243E-01
84269.6050	2.770043E-02	-2.155718E-01
84270.0932	4.702102E-03	1.784462E+00
84270.5815	6.145210E-04	-2.511202E+00
84271.0697	6.183575E-05	5.115101E-01
84271.5580	4.790761E-06	1.068916E+00
84272.0463	2.857801E-07	-2.194665E+00
84272.5345	1.312568E-08	-8.472893E-01
84273.0228	4.641730E-10	2.756486E-01
84273.5110	1.267214E-11	-8.485810E-01
84273.9993	1.824167E-12	1.341145E+00
84274.4875	7.510135E-11	3.946734E-01
84274.9758	2.793964E-09	-1.892066E-01
84275.4640	8.003843E-08	-9.450059E-01
84275.9523	1.765550E-06	2.962104E+00
84276.4405	2.998917E-05	-6.873543E-02
84276.9288	3.922394E-04	8.168245E-01
84277.4170	3.950362E-03	7.736872E-01
84277.9053	3.063351E-02	1.850412E+00
84278.3935	1.828536E-01	-1.383315E+00
84278.8818	8.392372E-01	8.384345E-01
84279.3700	2.953492E+00	3.064929E+00
84279.8583	7.935698E+00	9.072776E+00
84280.3465	1.624549E+01	1.611587E+01
84280.8348	2.550111E+01	2.543750E+01
84281.3230	3.115554E+01	3.215069E+01
84281.8113	2.998206E+01	3.073378E+01
84282.2995	2.266679E+01	2.210439E+01
84282.7878	1.326764E+01	1.054297E+01
84283.2760	5.935627E+00	6.485517E+00
84283.7643	2.023246E+00	1.801851E+00
84284.2526	5.272891E-01	3.911938E-01
84284.7408	1.054889E-01	1.558710E-01
84285.2291	1.623505E-02	-1.213824E+00
84285.7173	1.923600E-03	-9.715886E-01
84286.2056	1.760090E-04	3.138587E-01
84286.6938	2.289815E-05	-2.428947E-01
84287.1821	1.666971E-04	-1.241699E+00
84287.6703	2.008333E-03	8.633700E-01
84288.1586	1.870620E-02	1.208082E+00
84288.6468	1.341374E-01	-2.080975E+00
84289.1351	7.396656E-01	2.264185E+00
84289.6233	3.124752E+00	3.572036E+00
84290.1116	1.002908E+01	8.929321E+00
84290.5998	2.420461E+01	2.436599E+01
84291.0881	4.394113E+01	4.443608E+01
84291.5763	6.144182E+01	6.165623E+01
84292.0646	6.866073E+01	7.046357E+01
84292.5528	6.250942E+01	6.070232E+01
84293.0411	4.560414E+01	4.739203E+01
84293.5293	2.570075E+01	2.718395E+01
84294.0176	1.090590E+01	7.132158E+00
84294.5058	3.477794E+00	3.157285E+00
84294.9941	8.418386E-01	1.033101E+00
84295.4823	1.560380E-01	2.232723E-01
84295.9706	2.223698E-02	-4.529248E-01
84296.4589	2.439759E-03	-2.961300E+00
84296.9471	2.097501E-04	-5.273948E-02
84297.4354	6.390231E-05	1.018987E+00
84297.9236	5.370369E-04	-1.081629E+00
84298.4119	4.387591E-03	-1.706641E+00
84298.9001	2.763890E-02	3.424162E-01
84299.3884	1.340519E-01	-1.731563E-01
84299.8766	5.003339E-01	4.750537E-01
84300.3649	1.435799E+00	7.327718E-01
84300.8531	3.165774E+00	3.466060E+00
84301.3414	5.367911E+00	5.224889E+00
84301.8296	7.020494E+00	7.150321E+00
84302.3179	7.104162E+00	7.106716E+00
84302.8061	5.564887E+00	6.060209E+00
84303.2944	3.375497E+00	4.341192E+00
84303.7826	1.630616E+00	8.697010E-01
84304.2709	8.048223E-01	-2.051928E+00
84304.7591	8.664693E-01	5.261356E-02
84305.2474	1.846601E+00	2.832757E+00
84305.7356	4.720957E+00	4.201301E+00
84306.2239	1.321599E+01	1.314450E+01
84306.7121	3.453719E+01	3.678583E+01
84307.2004	7.126886E+01	7.091511E+01
84307.6886	1.099540E+02	1.099367E+02
84308.1769	1.342160E+02	1.347428E+02
84308.6652	1.415968E+02	1.421793E+02
84309.1534	1.340563E+02	1.339175E+02
84309.6417	1.094358E+02	1.083774E+02
84310.1299	7.001820E+01	7.063972E+01
84310.6182	3.243037E+01	3.168492E+01
84311.1064	1.083014E+01	1.039337E+01
84311.5947	2.943049E+00	8.461566E-01
84312.0829	1.208664E+00	1.447605E+00
84312.5712	1.275945E+00	1.737618E+00
84313.0594	1.548361E+00	2.897409E+00
84313.5477	1.515607E+00	2.351252E+00
84314.0359	1.149000E+00	1.030135E+00
84314.5242	6.761347E-01	-2.813441E-01
84315.0124	3.297637E-01	-5.605913E-01
84315.5007	2.106968E-01	5.733006E-01
84315.9889	3.340524E-01	-1.240497E-02
84316.4772	6.839609E-01	2.481419E+00
84316.9654	1.157301E+00	-6.394080E-02
84317.4537	1.519093E+00	2.567387E+00
84317.9419	1.538255E+00	7.429186E-01
84318.4302	1.201003E+00	1.145459E+00
84318.9184	7.225007E-01	2.150794E+00
84319.4067	3.346716E-01	1.082632E+00
84319.8949	1.193396E-01	-8.594958E-02
84320.3832	3.276351E-02	6.672194E-02
84320.8715	6.926618E-03	3.179297E-01
84321.3597	1.127788E-03	1.642170E-01
84321.8480	1.414259E-04	1.328990E+00
84322.3362	1.366764E-05	1.139871E+00
84322.8245	1.221872E-06	3.853540E-01
84323.3127	3.968571E-06	4.421061E-01
84323.8010	5.723652E-05	1.341533E+00
84324.2892	6.452819E-04	-1.758997E+00
84324.7775	5.604335E-03	-2.503796E-01
84325.2657	3.749709E-02	-9.467358E-02
84325.7540	1.932584E-01	9.745099E-01
84326.2422	7.669136E-01	-5.116386E-01
84326.7305	2.340971E+00	4.227042E+00
84327.2187	5.494070E+00	5.494301E+00
84327.7070	9.944065E+00	1.013246E+01
84328.1952	1.400961E+01	1.485781E+01
84328.6835	1.558279E+01	1.495796E+01
84329.1717	1.389097E+01	1.283983E+01
84329.6600	1.007076E+01	9.184899E+00
84330.1482	6.036461E+00	6.083212E+00
84330.6365	3.039269E+00	3.285391E+00
84331.1247	1.293260E+00	7.672531E-01
84331.6130	4.607856E-01	-4.525307E-01
84332.1012	1.347659E-01	-1.341032E+00
84332.5895	3.167918E-02	7.877714E-01
84333.0778	5.886970E-03	-7.225323E-02
84333.5660	8.553768E-04	1.580754E+00
84334.0543	9.653565E-05	7.792297E-01
84334.5425	8.430164E-06	-1.071522E+00
84335.0308	5.684479E-07	-1.045860E+00
84335.5190	2.956347E-08	-1.231860E+00
84336.0073	1.185122E-09	-3.063244E-01
84336.4955	3.659964E-11	-3.044581E+00
84336.9838	8.732681E-13	-5.095038E-01
84337.4720	1.940596E-14	6.042417E-01
84337.9603	0.000000E+00	-1.696369E-01
84338.4485	0.000000E+00	6.943923E-01
84338.9368	0.000000E+00	-4.203541E-02
84339.4250	0.000000E+00	-9.369113E-01
84339.9133	0.000000E+00	8.948215E-01
84340.4015	0.000000E+00	-2.072206E+00
84340.8898	0.000000E+00	-3.263893E-01
84341.3780	0.000000E+00	-1.109923E+00
84341.8663	0.000000E+00	2.131809E+00
84342.3545	0.000000E+00	3.865506E-01
84342.8428	0.000000E+00	-7.690254E-01
84343.3310	9.702975E-14	3.231251E-01
84343.8193	4.987329E-12	-5.048993E-01
84344.3075	2.120294E-10	-4.000985E-01
84344.7958	6.945855E-09	-9.189760E-01
84345.2841	1.752810E-07	-6.928629E-01
84345.7723	3.407488E-06	6.952509E-01
84346.2606	5.102979E-05	8.826109E-01
84346.7488	5.887116E-04	1.027589E+00
84347.2371	5.231985E-03	2.490262E+00
84347.7253	3.581691E-02	5.081183E-01
84348.2136	1.888199E-01	7.691330E-01
84348.7018	7.658947E-01	-1.202396E+00
84349.1901	2.386003E+00	1.834026E+00
84349.6783	5.697651E+00	3.404564E+00
84350.1666	1.043481E+01	8.767200E+00
84350.6548	1.473660E+01	1.449252E+01
84351.1431	1.617192E+01	1.798230E+01
84351.6313	1.383167E+01	1.363429E+01
84352.1196	9.176276E+00	1.007296E+01
84352.6078	4.686070E+00	5.119694E+00
84353.0961	1.835304E+00	3.130331E+00
84353.5843	5.574092E-01	2.010754E+00
84354.0726	1.595681E-01	-1.101565E-03
84354.5608	1.413985E-01	4.311282E-01
84355.0491	3.367890E-01	-7.035598E-01
84355.5373	7.216926E-01	-8.644008E-01
84356.0256	1.200996E+00	1.821554E+00
84356.5138	1.540939E+00	2.724268E+00
84357.0021	1.524723E+00	2.055249E+00
84357.4904	1.163503E+00	1.141789E+00
84357.9786	6.851281E-01	1.581452E-01
84358.4669	3.176418E-01	1.071342E+00
84358.9551	1.541232E-01	-3.771379E-02
